Username,Tanggal,Review,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
vivo vit,15/07/2022,emang ini bukan cuma liburan vacation aja tapi ada kesan bertualangnya juga bawa dua anak diajak untuk mendaki creter  break the limit akan kesabaran dan  ,positif,"['emang', 'ini', 'bukan', 'cuma', 'liburan', 'vacation', 'aja', 'tapi', 'ada', 'kesan', 'bertualangnya', 'juga', 'bawa', 'dua', 'anak', 'diajak', 'untuk', 'mendaki', 'creter', 'break', 'the', 'limit', 'akan', 'kesabaran', 'dan']","['emang', 'ini', 'bukan', 'cuma', 'liburan', 'vacation', 'aja', 'tapi', 'ada', 'kesan', 'bertualangnya', 'juga', 'bawa', 'dua', 'anak', 'diajak', 'untuk', 'mendaki', 'creter', 'break', 'the', 'limit', 'akan', 'kesabaran', 'dan']","['emang', 'liburan', 'vacation', 'aja', 'kesan', 'bertualangnya', 'bawa', 'anak', 'diajak', 'mendaki', 'creter', 'break', 'the', 'limit', 'kesabaran']","['emang', 'liburan', 'vacation', 'aja', 'kesan', 'bertualangnya', 'bawa', 'anak', 'diajak', 'mendaki', 'creter', 'break', 'the', 'limit', 'kesabaran']","['emang', 'libur', 'vacation', 'aja', 'kesan', 'tualang', 'bawa', 'anak', 'ajak', 'daki', 'creter', 'break', 'the', 'limit', 'sabar']"
Nurul Zainudin,15/07/2022,gunung bromo keindahan tiada tara     sudah ke bromo  dengan  jalur yg berbeda  sedikit saran siapkan tenaga juga kendaraan anda  ,positif,"['gunung', 'bromo', 'keindahan', 'tiada', 'tara', 'sudah', 'ke', 'bromo', 'dengan', 'jalur', 'yg', 'berbeda', 'sedikit', 'saran', 'siapkan', 'tenaga', 'juga', 'kendaraan', 'anda']","['gunung', 'bromo', 'keindahan', 'tiada', 'tara', 'sudah', 'ke', 'bromo', 'dengan', 'jalur', 'yg', 'berbeda', 'sedikit', 'saran', 'siapkan', 'tenaga', 'juga', 'kendaraan', 'anda']","['gunung', 'bromo', 'keindahan', 'tiada', 'tara', 'bromo', 'jalur', 'yg', 'berbeda', 'saran', 'siapkan', 'tenaga', 'kendaraan']","['gunung', 'bromo', 'keindahan', 'tiada', 'tara', 'bromo', 'jalur', 'yg', 'berbeda', 'saran', 'siapkan', 'tenaga', 'kendaraan']","['gunung', 'bromo', 'indah', 'tiada', 'tara', 'bromo', 'jalur', 'yg', 'beda', 'saran', 'siap', 'tenaga', 'kendara']"
Dans Setiawan,15/07/2022,tempat wisata alam yg sudah modern udara jls sejuk krn pegunungan   trs ingat jangan buang sampah sembarangan,positif,"['tempat', 'wisata', 'alam', 'yg', 'sudah', 'modern', 'udara', 'jls', 'sejuk', 'krn', 'pegunungan', 'trs', 'ingat', 'jangan', 'buang', 'sampah', 'sembarangan']","['tempat', 'wisata', 'alam', 'yg', 'sudah', 'modern', 'udara', 'jls', 'sejuk', 'krn', 'pegunungan', 'trs', 'ingat', 'jangan', 'buang', 'sampah', 'sembarangan']","['wisata', 'alam', 'yg', 'modern', 'udara', 'jls', 'sejuk', 'krn', 'pegunungan', 'trs', 'buang', 'sampah', 'sembarangan']","['wisata', 'alam', 'yg', 'modern', 'udara', 'jls', 'sejuk', 'krn', 'pegunungan', 'trs', 'buang', 'sampah', 'sembarangan']","['wisata', 'alam', 'yg', 'modern', 'udara', 'jls', 'sejuk', 'krn', 'gunung', 'trs', 'buang', 'sampah', 'sembarang']"
M Irfan,15/07/2022,mantappu naisu pokoke bromo keindahan alam indonesia,positif,"['mantappu', 'naisu', 'pokoke', 'bromo', 'keindahan', 'alam', 'indonesia']","['mantappu', 'naisu', 'pokoke', 'bromo', 'keindahan', 'alam', 'indonesia']","['mantappu', 'naisu', 'pokoke', 'bromo', 'keindahan', 'alam', 'indonesia']","['mantappu', 'naisu', 'pokoke', 'bromo', 'keindahan', 'alam', 'indonesia']","['mantappu', 'naisu', 'pokoke', 'bromo', 'indah', 'alam', 'indonesia']"
UK proaudio,15/07/2022,alhamdulillah tahun ini bisa sampai ke area kawah bisa ambil foto dan sedikit view dari atas kawah karena cuaca mendukung pendakian pada hari ini  beberapa tahun lalu cuman sampai bawah saja karena cuaca tidak mendukung   hujan  ,positif,"['alhamdulillah', 'tahun', 'ini', 'bisa', 'sampai', 'ke', 'area', 'kawah', 'bisa', 'ambil', 'foto', 'dan', 'sedikit', 'view', 'dari', 'atas', 'kawah', 'karena', 'cuaca', 'mendukung', 'pendakian', 'pada', 'hari', 'ini', 'beberapa', 'tahun', 'lalu', 'cuman', 'sampai', 'bawah', 'saja', 'karena', 'cuaca', 'tidak', 'mendukung', 'hujan']","['alhamdulillah', 'tahun', 'ini', 'bisa', 'sampai', 'ke', 'area', 'kawah', 'bisa', 'ambil', 'foto', 'dan', 'sedikit', 'view', 'dari', 'atas', 'kawah', 'karena', 'cuaca', 'mendukung', 'pendakian', 'pada', 'hari', 'ini', 'beberapa', 'tahun', 'lalu', 'cuman', 'sampai', 'bawah', 'saja', 'karena', 'cuaca', 'tidak', 'mendukung', 'hujan']","['alhamdulillah', 'area', 'kawah', 'ambil', 'foto', 'view', 'kawah', 'cuaca', 'mendukung', 'pendakian', 'cuman', 'cuaca', 'mendukung', 'hujan']","['alhamdulillah', 'area', 'kawah', 'ambil', 'foto', 'view', 'kawah', 'cuaca', 'mendukung', 'pendakian', 'cuman', 'cuaca', 'mendukung', 'hujan']","['alhamdulillah', 'area', 'kawah', 'ambil', 'foto', 'view', 'kawah', 'cuaca', 'dukung', 'daki', 'cuman', 'cuaca', 'dukung', 'hujan']"
Tarto Tr,15/07/2022,mantap tangganya,positif,"['mantap', 'tangganya']","['mantap', 'tangganya']","['mantap', 'tangganya']","['mantap', 'tangganya']","['mantap', 'tangga']"
ARM Collection,15/07/2022,asyik   seru bangets,positif,"['asyik', 'seru', 'bangets']","['asyik', 'seru', 'bangets']","['asyik', 'seru', 'bangets']","['asyik', 'seru', 'bangets']","['asyik', 'seru', 'bangets']"
11_Farida Rahmawati,15/07/2022,bagus sekali,positif,"['bagus', 'sekali']","['bagus', 'sekali']",['bagus'],['bagus'],['bagus']
star bintang,15/07/2022,baik,positif,['baik'],['baik'],[],[],[]
dwy prasetyo,15/07/2022,wisata alam yang sangat menyenangkan  lebih bagus datang pas week day jadi gk terlalu ramai jadi bisa menikmati sunrise tanpa berdesakana,positif,"['wisata', 'alam', 'yang', 'sangat', 'menyenangkan', 'lebih', 'bagus', 'datang', 'pas', 'week', 'day', 'jadi', 'gk', 'terlalu', 'ramai', 'jadi', 'bisa', 'menikmati', 'sunrise', 'tanpa', 'berdesakana']","['wisata', 'alam', 'yang', 'sangat', 'menyenangkan', 'lebih', 'bagus', 'datang', 'pas', 'week', 'day', 'jadi', 'gk', 'terlalu', 'ramai', 'jadi', 'bisa', 'menikmati', 'sunrise', 'tanpa', 'berdesakana']","['wisata', 'alam', 'menyenangkan', 'bagus', 'pas', 'week', 'day', 'gk', 'ramai', 'menikmati', 'sunrise', 'berdesakana']","['wisata', 'alam', 'menyenangkan', 'bagus', 'pas', 'week', 'day', 'gk', 'ramai', 'menikmati', 'sunrise', 'berdesakana']","['wisata', 'alam', 'senang', 'bagus', 'pas', 'week', 'day', 'gk', 'ramai', 'nikmat', 'sunrise', 'berdesakana']"
Stevanus Sukardi Ruata,15/07/2022,tempatnya seru  dan seger menghirup angin gunung   ,positif,"['tempatnya', 'seru', 'dan', 'seger', 'menghirup', 'angin', 'gunung']","['tempatnya', 'seru', 'dan', 'seger', 'menghirup', 'angin', 'gunung']","['tempatnya', 'seru', 'seger', 'menghirup', 'angin', 'gunung']","['tempatnya', 'seru', 'seger', 'menghirup', 'angin', 'gunung']","['tempat', 'seru', 'seger', 'hirup', 'angin', 'gunung']"
Christ Hazaki,15/07/2022,pemandangan yg indah walaupun gk dapet sunrise   surabaya   bromo hujan terus mulai jam  pagi  udah sering ke sini tapi gk bakal bosen   oh iya untuk tiket diwajibkan beli online ya minimal  hari sebelum berangkat  pagi tadi suhu mencapai    itu barengan dengan hujan     ,positif,"['pemandangan', 'yg', 'indah', 'walaupun', 'gk', 'dapet', 'sunrise', 'surabaya', 'bromo', 'hujan', 'terus', 'mulai', 'jam', 'pagi', 'udah', 'sering', 'ke', 'sini', 'tapi', 'gk', 'bakal', 'bosen', 'oh', 'iya', 'untuk', 'tiket', 'diwajibkan', 'beli', 'online', 'ya', 'minimal', 'hari', 'sebelum', 'berangkat', 'pagi', 'tadi', 'suhu', 'mencapai', 'itu', 'barengan', 'dengan', 'hujan']","['pemandangan', 'yg', 'indah', 'walaupun', 'gk', 'dapet', 'sunrise', 'surabaya', 'bromo', 'hujan', 'terus', 'mulai', 'jam', 'pagi', 'udah', 'sering', 'ke', 'sini', 'tapi', 'gk', 'bakal', 'bosen', 'oh', 'iya', 'untuk', 'tiket', 'diwajibkan', 'beli', 'online', 'ya', 'minimal', 'hari', 'sebelum', 'berangkat', 'pagi', 'tadi', 'suhu', 'mencapai', 'itu', 'barengan', 'dengan', 'hujan']","['pemandangan', 'yg', 'indah', 'gk', 'dapet', 'sunrise', 'surabaya', 'bromo', 'hujan', 'jam', 'pagi', 'udah', 'gk', 'bosen', 'oh', 'iya', 'tiket', 'diwajibkan', 'beli', 'online', 'ya', 'minimal', 'berangkat', 'pagi', 'suhu', 'mencapai', 'barengan', 'hujan']","['pemandangan', 'yg', 'indah', 'gk', 'dapet', 'sunrise', 'surabaya', 'bromo', 'hujan', 'jam', 'pagi', 'udah', 'gk', 'bosen', 'oh', 'iya', 'tiket', 'diwajibkan', 'beli', 'online', 'ya', 'minimal', 'berangkat', 'pagi', 'suhu', 'mencapai', 'barengan', 'hujan']","['pandang', 'yg', 'indah', 'gk', 'dapet', 'sunrise', 'surabaya', 'bromo', 'hujan', 'jam', 'pagi', 'udah', 'gk', 'bosen', 'oh', 'iya', 'tiket', 'wajib', 'beli', 'online', 'ya', 'minimal', 'berangkat', 'pagi', 'suhu', 'capai', 'bareng', 'hujan']"
Aprizal Sakha,15/07/2022,gunung yang menunjukan bahwa kebesaran allah swt ,positif,"['gunung', 'yang', 'menunjukan', 'bahwa', 'kebesaran', 'allah', 'swt']","['gunung', 'yang', 'menunjukan', 'bahwa', 'kebesaran', 'allah', 'swt']","['gunung', 'menunjukan', 'kebesaran', 'allah', 'swt']","['gunung', 'menunjukan', 'kebesaran', 'allah', 'swt']","['gunung', 'tunjuk', 'besar', 'allah', 'swt']"
Hartoyo,15/07/2022,pemandangan bagus,positif,"['pemandangan', 'bagus']","['pemandangan', 'bagus']","['pemandangan', 'bagus']","['pemandangan', 'bagus']","['pandang', 'bagus']"
Genjun Junaedy,15/07/2022,sangat bagus  tidak pernah bosan meski sering ke sana,positif,"['sangat', 'bagus', 'tidak', 'pernah', 'bosan', 'meski', 'sering', 'ke', 'sana']","['sangat', 'bagus', 'tidak', 'pernah', 'bosan', 'meski', 'sering', 'ke', 'sana']","['bagus', 'bosan']","['bagus', 'bosan']","['bagus', 'bosan']"
Aku Febriawan,15/07/2022,wisata alam yang sangat keren  semoga bisa kesini lagi,positif,"['wisata', 'alam', 'yang', 'sangat', 'keren', 'semoga', 'bisa', 'kesini', 'lagi']","['wisata', 'alam', 'yang', 'sangat', 'keren', 'semoga', 'bisa', 'kesini', 'lagi']","['wisata', 'alam', 'keren', 'semoga', 'kesini']","['wisata', 'alam', 'keren', 'semoga', 'kesini']","['wisata', 'alam', 'keren', 'moga', 'kesini']"
Kurdobln,15/07/2022,sorotan mutlak di jawa  pendakian ke kawah gunung berapi agak mudah  setelah di atas anda dapat mendengar dan melihat seberapa aktif gunung berapi itu  saya tidak akan merekomendasikan berjalan di sekitar kawah karena bisa sangat b  ,positif,"['sorotan', 'mutlak', 'di', 'jawa', 'pendakian', 'ke', 'kawah', 'gunung', 'berapi', 'agak', 'mudah', 'setelah', 'di', 'atas', 'anda', 'dapat', 'mendengar', 'dan', 'melihat', 'seberapa', 'aktif', 'gunung', 'berapi', 'itu', 'saya', 'tidak', 'akan', 'merekomendasikan', 'berjalan', 'di', 'sekitar', 'kawah', 'karena', 'bisa', 'sangat', 'b']","['sorotan', 'mutlak', 'di', 'jawa', 'pendakian', 'ke', 'kawah', 'gunung', 'berapi', 'agak', 'mudah', 'setelah', 'di', 'atas', 'anda', 'dapat', 'mendengar', 'dan', 'melihat', 'seberapa', 'aktif', 'gunung', 'berapi', 'itu', 'saya', 'tidak', 'akan', 'merekomendasikan', 'berjalan', 'di', 'sekitar', 'kawah', 'karena', 'bisa', 'sangat', 'b']","['sorotan', 'mutlak', 'jawa', 'pendakian', 'kawah', 'gunung', 'berapi', 'mudah', 'mendengar', 'aktif', 'gunung', 'berapi', 'merekomendasikan', 'berjalan', 'kawah', 'b']","['sorotan', 'mutlak', 'jawa', 'pendakian', 'kawah', 'gunung', 'berapi', 'mudah', 'mendengar', 'aktif', 'gunung', 'berapi', 'merekomendasikan', 'berjalan', 'kawah', 'b']","['sorot', 'mutlak', 'jawa', 'daki', 'kawah', 'gunung', 'rap', 'mudah', 'dengar', 'aktif', 'gunung', 'rap', 'rekomendasi', 'jalan', 'kawah', 'b']"
sakti kurnia nasution,15/07/2022,indahnya cipta dan kuasa tuhan,positif,"['indahnya', 'cipta', 'dan', 'kuasa', 'tuhan']","['indahnya', 'cipta', 'dan', 'kuasa', 'tuhan']","['indahnya', 'cipta', 'kuasa', 'tuhan']","['indahnya', 'cipta', 'kuasa', 'tuhan']","['indah', 'cipta', 'kuasa', 'tuhan']"
Wini Eunike,15/07/2022,pengalaman yang menyenangkan menjelajahi wisata gunung bromo  semakin dilestarikan dan dijaga keberadaan lingkungan sekitar ,positif,"['pengalaman', 'yang', 'menyenangkan', 'menjelajahi', 'wisata', 'gunung', 'bromo', 'semakin', 'dilestarikan', 'dan', 'dijaga', 'keberadaan', 'lingkungan', 'sekitar']","['pengalaman', 'yang', 'menyenangkan', 'menjelajahi', 'wisata', 'gunung', 'bromo', 'semakin', 'dilestarikan', 'dan', 'dijaga', 'keberadaan', 'lingkungan', 'sekitar']","['pengalaman', 'menyenangkan', 'menjelajahi', 'wisata', 'gunung', 'bromo', 'dilestarikan', 'dijaga', 'keberadaan', 'lingkungan']","['pengalaman', 'menyenangkan', 'menjelajahi', 'wisata', 'gunung', 'bromo', 'dilestarikan', 'dijaga', 'keberadaan', 'lingkungan']","['alam', 'senang', 'jajah', 'wisata', 'gunung', 'bromo', 'lestari', 'jaga', 'ada', 'lingkung']"
Navynav az,15/07/2022,baru pertama kali ke bromo cantik banget gunung nya,positif,"['baru', 'pertama', 'kali', 'ke', 'bromo', 'cantik', 'banget', 'gunung', 'nya']","['baru', 'pertama', 'kali', 'ke', 'bromo', 'cantik', 'banget', 'gunung', 'nya']","['kali', 'bromo', 'cantik', 'banget', 'gunung', 'nya']","['kali', 'bromo', 'cantik', 'banget', 'gunung', 'nya']","['kali', 'bromo', 'cantik', 'banget', 'gunung', 'nya']"
Fatimah DuLhamid,15/07/2022,keren abis   ya walau cuaca panas akhir sampai juga ke kawah nya kalau naik kuda sih mungkin lebih cepat   tapi saya suka jalan dari parkiran mobil jeep mungkin jia kesana nya cuaca hujan lebih dingin     ,positif,"['keren', 'abis', 'ya', 'walau', 'cuaca', 'panas', 'akhir', 'sampai', 'juga', 'ke', 'kawah', 'nya', 'kalau', 'naik', 'kuda', 'sih', 'mungkin', 'lebih', 'cepat', 'tapi', 'saya', 'suka', 'jalan', 'dari', 'parkiran', 'mobil', 'jeep', 'mungkin', 'jia', 'kesana', 'nya', 'cuaca', 'hujan', 'lebih', 'dingin']","['keren', 'abis', 'ya', 'walau', 'cuaca', 'panas', 'akhir', 'sampai', 'juga', 'ke', 'kawah', 'nya', 'kalau', 'naik', 'kuda', 'sih', 'mungkin', 'lebih', 'cepat', 'tapi', 'saya', 'suka', 'jalan', 'dari', 'parkiran', 'mobil', 'jeep', 'mungkin', 'jia', 'kesana', 'nya', 'cuaca', 'hujan', 'lebih', 'dingin']","['keren', 'abis', 'ya', 'cuaca', 'panas', 'kawah', 'nya', 'kuda', 'sih', 'cepat', 'suka', 'jalan', 'parkiran', 'mobil', 'jeep', 'jia', 'kesana', 'nya', 'cuaca', 'hujan', 'dingin']","['keren', 'abis', 'ya', 'cuaca', 'panas', 'kawah', 'nya', 'kuda', 'sih', 'cepat', 'suka', 'jalan', 'parkiran', 'mobil', 'jeep', 'jia', 'kesana', 'nya', 'cuaca', 'hujan', 'dingin']","['keren', 'abis', 'ya', 'cuaca', 'panas', 'kawah', 'nya', 'kuda', 'sih', 'cepat', 'suka', 'jalan', 'parkir', 'mobil', 'jeep', 'jia', 'kesana', 'nya', 'cuaca', 'hujan', 'dingin']"
Jayanti 80,15/07/2022,wisata alam yg luar biasaa               ,positif,"['wisata', 'alam', 'yg', 'luar', 'biasaa']","['wisata', 'alam', 'yg', 'luar', 'biasaa']","['wisata', 'alam', 'yg', 'biasaa']","['wisata', 'alam', 'yg', 'biasaa']","['wisata', 'alam', 'yg', 'biasaa']"
brama deka oktora,15/07/2022,cocok buat yg punya banyak masalah,positif,"['cocok', 'buat', 'yg', 'punya', 'banyak', 'masalah']","['cocok', 'buat', 'yg', 'punya', 'banyak', 'masalah']","['cocok', 'yg']","['cocok', 'yg']","['cocok', 'yg']"
Yudha Ahmad,15/07/2022,keindahan yang tudak pernah salah,positif,"['keindahan', 'yang', 'tudak', 'pernah', 'salah']","['keindahan', 'yang', 'tudak', 'pernah', 'salah']","['keindahan', 'tudak', 'salah']","['keindahan', 'tudak', 'salah']","['indah', 'tudak', 'salah']"
Alf Bantani,15/07/2022,tempat yg indah dan bagus tp sygnya jln menuju lokasi pasir dibuat tdk landai agar hny kendaraan tertentu yg disewa yg bisa lewat   hati sama calo sewa kendaraan menjelang pintu masuk   sebaiknya parkir dulu saja dan lihat biaya sewa di google ,negatif,"['tempat', 'yg', 'indah', 'dan', 'bagus', 'tp', 'sygnya', 'jln', 'menuju', 'lokasi', 'pasir', 'dibuat', 'tdk', 'landai', 'agar', 'hny', 'kendaraan', 'tertentu', 'yg', 'disewa', 'yg', 'bisa', 'lewat', 'hati', 'sama', 'calo', 'sewa', 'kendaraan', 'menjelang', 'pintu', 'masuk', 'sebaiknya', 'parkir', 'dulu', 'saja', 'dan', 'lihat', 'biaya', 'sewa', 'di', 'google']","['tempat', 'yg', 'indah', 'dan', 'bagus', 'tp', 'sygnya', 'jln', 'menuju', 'lokasi', 'pasir', 'dibuat', 'tdk', 'landai', 'agar', 'hny', 'kendaraan', 'tertentu', 'yg', 'disewa', 'yg', 'bisa', 'lewat', 'hati', 'sama', 'calo', 'sewa', 'kendaraan', 'menjelang', 'pintu', 'masuk', 'sebaiknya', 'parkir', 'dulu', 'saja', 'dan', 'lihat', 'biaya', 'sewa', 'di', 'google']","['yg', 'indah', 'bagus', 'tp', 'sygnya', 'jln', 'lokasi', 'pasir', 'tdk', 'landai', 'hny', 'kendaraan', 'yg', 'disewa', 'yg', 'hati', 'calo', 'sewa', 'kendaraan', 'menjelang', 'pintu', 'masuk', 'parkir', 'lihat', 'biaya', 'sewa', 'google']","['yg', 'indah', 'bagus', 'tp', 'sygnya', 'jln', 'lokasi', 'pasir', 'tdk', 'landai', 'hny', 'kendaraan', 'yg', 'disewa', 'yg', 'hati', 'calo', 'sewa', 'kendaraan', 'menjelang', 'pintu', 'masuk', 'parkir', 'lihat', 'biaya', 'sewa', 'google']","['yg', 'indah', 'bagus', 'tp', 'sygnya', 'jln', 'lokasi', 'pasir', 'tdk', 'landai', 'hny', 'kendara', 'yg', 'sewa', 'yg', 'hati', 'calo', 'sewa', 'kendara', 'jelang', 'pintu', 'masuk', 'parkir', 'lihat', 'biaya', 'sewa', 'google']"
Aji Nugroho,15/07/2022,idah suasana pagi menjadi daya tarik tersendiri di gunung bromo,positif,"['idah', 'suasana', 'pagi', 'menjadi', 'daya', 'tarik', 'tersendiri', 'di', 'gunung', 'bromo']","['idah', 'suasana', 'pagi', 'menjadi', 'daya', 'tarik', 'tersendiri', 'di', 'gunung', 'bromo']","['idah', 'suasana', 'pagi', 'daya', 'tarik', 'tersendiri', 'gunung', 'bromo']","['idah', 'suasana', 'pagi', 'daya', 'tarik', 'tersendiri', 'gunung', 'bromo']","['idah', 'suasana', 'pagi', 'daya', 'tarik', 'sendiri', 'gunung', 'bromo']"
Ken Zo,15/07/2022,istimewah,positif,['istimewah'],['istimewah'],['istimewah'],['istimewah'],['istimewah']
Artina Vita Ningrum,15/07/2022,ke bromo waktu kkn tahun   perjalanan sangat mengesankan,positif,"['ke', 'bromo', 'waktu', 'kkn', 'tahun', 'perjalanan', 'sangat', 'mengesankan']","['ke', 'bromo', 'waktu', 'kkn', 'tahun', 'perjalanan', 'sangat', 'mengesankan']","['bromo', 'kkn', 'perjalanan', 'mengesankan']","['bromo', 'kkn', 'perjalanan', 'mengesankan']","['bromo', 'kkn', 'jalan', 'kesan']"
Tarno Novan,15/07/2022,tempat yang indah   ,positif,"['tempat', 'yang', 'indah']","['tempat', 'yang', 'indah']",['indah'],['indah'],['indah']
Ardi ansyah,15/07/2022,kapan kapan kesini lagi deh ya,positif,"['kapan', 'kapan', 'kesini', 'lagi', 'deh', 'ya']","['kapan', 'kapan', 'kesini', 'lagi', 'deh', 'ya']","['kesini', 'deh', 'ya']","['kesini', 'deh', 'ya']","['kesini', 'deh', 'ya']"
ridwan sinyo,15/07/2022,tempat wisata populer di jatim nasional park bromo tengger semeru ,positif,"['tempat', 'wisata', 'populer', 'di', 'jatim', 'nasional', 'park', 'bromo', 'tengger', 'semeru']","['tempat', 'wisata', 'populer', 'di', 'jatim', 'nasional', 'park', 'bromo', 'tengger', 'semeru']","['wisata', 'populer', 'jatim', 'nasional', 'park', 'bromo', 'tengger', 'semeru']","['wisata', 'populer', 'jatim', 'nasional', 'park', 'bromo', 'tengger', 'semeru']","['wisata', 'populer', 'jatim', 'nasional', 'park', 'bromo', 'tengger', 'meru']"
Wawan Kondangiwak,15/07/2022,sedap bau belerang   ,negatif,"['sedap', 'bau', 'belerang']","['sedap', 'bau', 'belerang']","['sedap', 'bau', 'belerang']","['sedap', 'bau', 'belerang']","['sedap', 'bau', 'belerang']"
NUNGKY ASTRIDHA,15/07/2022,setelah sekian lama  akhirnya kesampeam juga k bromo   lumayan jauh dr pekalongan  dan lelah pun terbayar oleh pemandangan yg indah  ,positif,"['setelah', 'sekian', 'lama', 'akhirnya', 'kesampeam', 'juga', 'k', 'bromo', 'lumayan', 'jauh', 'dr', 'pekalongan', 'dan', 'lelah', 'pun', 'terbayar', 'oleh', 'pemandangan', 'yg', 'indah']","['setelah', 'sekian', 'lama', 'akhirnya', 'kesampeam', 'juga', 'k', 'bromo', 'lumayan', 'jauh', 'dr', 'pekalongan', 'dan', 'lelah', 'pun', 'terbayar', 'oleh', 'pemandangan', 'yg', 'indah']","['sekian', 'kesampeam', 'k', 'bromo', 'lumayan', 'dr', 'pekalongan', 'lelah', 'terbayar', 'pemandangan', 'yg', 'indah']","['sekian', 'kesampeam', 'k', 'bromo', 'lumayan', 'dr', 'pekalongan', 'lelah', 'terbayar', 'pemandangan', 'yg', 'indah']","['sekian', 'kesampeam', 'k', 'bromo', 'lumayan', 'dr', 'kalong', 'lelah', 'bayar', 'pandang', 'yg', 'indah']"
Sabrina Putri,15/07/2022,pemandangannya sangat indah,positif,"['pemandangannya', 'sangat', 'indah']","['pemandangannya', 'sangat', 'indah']","['pemandangannya', 'indah']","['pemandangannya', 'indah']","['pandang', 'indah']"
Farid Krisdianto,15/07/2022,pengen semedi,positif,"['pengen', 'semedi']","['pengen', 'semedi']","['pengen', 'semedi']","['pengen', 'semedi']","['ken', 'semedi']"
riyanti kusuma,15/07/2022,kalau ke bromo naik jeep maksimal jam  sdh berangkat naik yaa  karena masih harus jalan kaki naik ke puncak buat lihat sunrise nya  meski bisa naik ojek ,positif,"['kalau', 'ke', 'bromo', 'naik', 'jeep', 'maksimal', 'jam', 'sdh', 'berangkat', 'naik', 'yaa', 'karena', 'masih', 'harus', 'jalan', 'kaki', 'naik', 'ke', 'puncak', 'buat', 'lihat', 'sunrise', 'nya', 'meski', 'bisa', 'naik', 'ojek']","['kalau', 'ke', 'bromo', 'naik', 'jeep', 'maksimal', 'jam', 'sdh', 'berangkat', 'naik', 'yaa', 'karena', 'masih', 'harus', 'jalan', 'kaki', 'naik', 'ke', 'puncak', 'buat', 'lihat', 'sunrise', 'nya', 'meski', 'bisa', 'naik', 'ojek']","['bromo', 'jeep', 'maksimal', 'jam', 'sdh', 'berangkat', 'yaa', 'jalan', 'kaki', 'puncak', 'lihat', 'sunrise', 'nya', 'ojek']","['bromo', 'jeep', 'maksimal', 'jam', 'sdh', 'berangkat', 'yaa', 'jalan', 'kaki', 'puncak', 'lihat', 'sunrise', 'nya', 'ojek']","['bromo', 'jeep', 'maksimal', 'jam', 'sdh', 'berangkat', 'yaa', 'jalan', 'kaki', 'puncak', 'lihat', 'sunrise', 'nya', 'ojek']"
Heru Trihandoko,15/07/2022,panorama alam sangat eksotik ,positif,"['panorama', 'alam', 'sangat', 'eksotik']","['panorama', 'alam', 'sangat', 'eksotik']","['panorama', 'alam', 'eksotik']","['panorama', 'alam', 'eksotik']","['panorama', 'alam', 'eksotik']"
Batik Te'ye'ng,15/07/2022,indahnya alam gunung bromo,positif,"['indahnya', 'alam', 'gunung', 'bromo']","['indahnya', 'alam', 'gunung', 'bromo']","['indahnya', 'alam', 'gunung', 'bromo']","['indahnya', 'alam', 'gunung', 'bromo']","['indah', 'alam', 'gunung', 'bromo']"
Atok Aminulloh,15/07/2022,seru,positif,['seru'],['seru'],['seru'],['seru'],['seru']
Telerr Bastard71,15/07/2022,sangat menyenangkan dan rekomendasi banget untuk healing bersama teman,positif,"['sangat', 'menyenangkan', 'dan', 'rekomendasi', 'banget', 'untuk', 'healing', 'bersama', 'teman']","['sangat', 'menyenangkan', 'dan', 'rekomendasi', 'banget', 'untuk', 'healing', 'bersama', 'teman']","['menyenangkan', 'rekomendasi', 'banget', 'healing', 'teman']","['menyenangkan', 'rekomendasi', 'banget', 'healing', 'teman']","['senang', 'rekomendasi', 'banget', 'healing', 'teman']"
Abyan Zaenal,15/07/2022,good recommended  destinasi wisata alam gunung bromo diantara  daerah yakni malang lumajang probolinggo pasuruan gunung berapi aktif berbentuk corong  dan di kelilingi lautan pasir,positif,"['good', 'recommended', 'destinasi', 'wisata', 'alam', 'gunung', 'bromo', 'diantara', 'daerah', 'yakni', 'malang', 'lumajang', 'probolinggo', 'pasuruan', 'gunung', 'berapi', 'aktif', 'berbentuk', 'corong', 'dan', 'di', 'kelilingi', 'lautan', 'pasir']","['good', 'recommended', 'destinasi', 'wisata', 'alam', 'gunung', 'bromo', 'diantara', 'daerah', 'yakni', 'malang', 'lumajang', 'probolinggo', 'pasuruan', 'gunung', 'berapi', 'aktif', 'berbentuk', 'corong', 'dan', 'di', 'kelilingi', 'lautan', 'pasir']","['good', 'recommended', 'destinasi', 'wisata', 'alam', 'gunung', 'bromo', 'daerah', 'malang', 'lumajang', 'probolinggo', 'pasuruan', 'gunung', 'berapi', 'aktif', 'berbentuk', 'corong', 'kelilingi', 'lautan', 'pasir']","['good', 'recommended', 'destinasi', 'wisata', 'alam', 'gunung', 'bromo', 'daerah', 'malang', 'lumajang', 'probolinggo', 'pasuruan', 'gunung', 'berapi', 'aktif', 'berbentuk', 'corong', 'kelilingi', 'lautan', 'pasir']","['good', 'recommended', 'destinasi', 'wisata', 'alam', 'gunung', 'bromo', 'daerah', 'malang', 'lumajang', 'probolinggo', 'pasuruan', 'gunung', 'rap', 'aktif', 'bentuk', 'corong', 'keliling', 'laut', 'pasir']"
